"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jan 14 17:02:59 GMT 2024","Sun Jan 14 17:02:59 GMT 2024","11","test","test_hootel","TestHootel","","","test_hotel_user_actual_booking",""
"broken","Sun Jan 14 17:02:42 GMT 2024","Sun Jan 14 17:02:49 GMT 2024","6869","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"broken","Sun Jan 14 17:03:02 GMT 2024","Sun Jan 14 17:03:02 GMT 2024","11","test","test_hootel","TestHootel","","","test_hotel_user_past_booking",""
"broken","Sun Jan 14 17:02:56 GMT 2024","Sun Jan 14 17:02:56 GMT 2024","9","test","test_hootel","TestHootel","","","test_hotel_checkbox",""
"passed","Sun Jan 14 17:02:38 GMT 2024","Sun Jan 14 17:02:40 GMT 2024","1866","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Sun Jan 14 17:02:52 GMT 2024","Sun Jan 14 17:02:53 GMT 2024","1060","test","test_hootel","TestHootel","","","test_hotel_list",""
