"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jan 18 16:15:59 GMT 2024","Thu Jan 18 16:15:59 GMT 2024","11","test","test_hootel","TestHootel","","","test_hotel_user_past_booking",""
"broken","Thu Jan 18 16:15:54 GMT 2024","Thu Jan 18 16:15:54 GMT 2024","9","test","test_hootel","TestHootel","","","test_hotel_checkbox",""
"broken","Thu Jan 18 16:15:56 GMT 2024","Thu Jan 18 16:15:56 GMT 2024","11","test","test_hootel","TestHootel","","","test_hotel_user_actual_booking",""
"passed","Thu Jan 18 16:15:50 GMT 2024","Thu Jan 18 16:15:51 GMT 2024","1061","test","test_hootel","TestHootel","","","test_hotel_list",""
"broken","Thu Jan 18 16:15:40 GMT 2024","Thu Jan 18 16:15:47 GMT 2024","6864","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Thu Jan 18 16:15:35 GMT 2024","Thu Jan 18 16:15:37 GMT 2024","1861","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
